domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
MatchCellar-impossible,instance_02-ground,TAMER-ftp,0.02,4464,true,okay,
MatchCellar-impossible,instance_02-ground,UPPAAL,0.01,19572,true,okay,
MatchCellar-impossible,instance_02,nextflap,0.12,5388,true,okay,
MatchCellar-impossible,instance_03-ground,TAMER-ftp,0.04,4464,true,okay,
MatchCellar-impossible,instance_03-ground,UPPAAL,0.02,20544,true,okay,
MatchCellar-impossible,instance_03,nextflap,0.15,5388,true,okay,
MatchCellar-impossible,instance_04-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_04-ground,UPPAAL,111.61,1047864,true,okay,
MatchCellar-impossible,instance_04,nextflap,0.10,5396,true,okay,
MatchCellar-impossible,instance_05-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_05-ground,UPPAAL,,,false,out of time,|
MatchCellar-impossible,instance_05,nextflap,0.08,5396,true,okay,
MatchCellar-impossible,instance_06-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_06-ground,UPPAAL,,,false,out of time,|
MatchCellar-impossible,instance_06,nextflap,0.13,5400,true,okay,
MatchCellar-impossible,instance_07-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_07-ground,UPPAAL,,,false,out of time,|
MatchCellar-impossible,instance_07,nextflap,0.08,5396,true,okay,
MatchCellar-impossible,instance_08-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_08-ground,UPPAAL,,,false,out of time,|
MatchCellar-impossible,instance_08,nextflap,0.08,5132,true,okay,
MatchCellar-impossible,instance_09-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_09-ground,UPPAAL,,,false,out of time,|
MatchCellar-impossible,instance_09,nextflap,0.08,5392,true,okay,
MatchCellar-impossible,instance_10-ground,TAMER-ftp,,,false,out of time,|
MatchCellar-impossible,instance_10-ground,UPPAAL,,,false,out of time,|
MatchCellar-impossible,instance_10,nextflap,0.08,5392,true,okay,
MatchCellar-impossible,instance_02,tck-aLUcovreach,0.01,11260,true,okay,
MatchCellar-impossible,instance_02,tck-covreach,0.01,9904,true,okay,
MatchCellar-impossible,instance_02-ground,TAMER-ctp,0.01,5380,true,okay,
MatchCellar-impossible,instance_02-ground,nuXmv,0.16,59156,true,okay,
MatchCellar-impossible,instance_02-ground,UPPAAL,0.01,19492,true,okay,
